id,trip_distance,trip_time_in_secs,tip_amount,fare_amount,tip_perc,counter,pickup_zipcode,dropoff_zipcode
10003|10010,0.927195122,363.5266075,0.740066519,6.071507761,12.17604622,902,10003,10010
10003|10011,1.117349015,441.9478703,0.826738716,6.910362365,11.93160154,1573,10003,10011
10003|10012,0.955921158,359.5977474,0.774143202,6.064762671,12.56315981,1243,10003,10012
10003|10013,1.592627884,569.4694082,1.083911735,8.460882648,12.79395431,997,10003,10013
10003|10014,1.230877926,487.173913,0.911831104,7.334448161,12.62067344,1196,10003,10014
10003|10016,1.275549163,436.3007322,0.856438285,7.118200837,12.29704877,1912,10003,10016
10003|10017,1.80694487,597.3039816,1.086837672,9.038284839,12.22079193,1306,10003,10017
10003|10018,1.994538879,869.1157324,1.291754069,11.12658228,11.61870654,553,10003,10018
10003|10019,2.807010429,1009.633835,1.599432213,13.38991889,11.97002278,863,10003,10019
10003|10020,2.391311475,967.9672131,1.416393443,12.5,10.90421549,61,10003,10020
10003|10021,3.324026258,874.9343545,1.518796499,13.37527352,11.41912318,457,10003,10021
10003|10022,9.192695952,734.8173988,1.358854436,10.69982773,12.75950455,1161,10003,10022
10003|10023,3.743765586,1133.229426,1.839650873,15.68204489,11.54028651,401,10003,10023
10003|10024,4.756345382,1174.88755,2.014216867,17.8875502,11.31842468,249,10003,10024
10003|10025,5.697808219,1269.849315,2.413013699,20.10958904,11.89360648,146,10003,10025
10003|10026,9.1416,1417.6,1.9272,20.92,8.751115631,25,10003,10026
10003|10027,6.948181818,1315.363636,2.943636364,22.66666667,12.55407896,33,10003,10027
10003|10028,3.872912281,923.0245614,1.803754386,14.66491228,12.332746,285,10003,10028
10003|10029,5.135762712,989.2372881,1.845338983,17.46610169,10.48540697,118,10003,10029
10003|10030,7.721,1327.7,1.53,24.45,6.211103193,10,10003,10030
10003|10031,8.245,1430.323529,3.572647059,27.27941176,13.40449734,34,10003,10031
10003|10032,9.560588235,1498.411765,3.171764706,30.26470588,10.742489,17,10003,10032
10003|10033,10.30526316,1408.052632,2.715789474,31.15789474,8.779231525,19,10003,10033
10003|10034,11.63888889,1420.777778,4.411111111,33.77777778,12.75529304,9,10003,10034
10003|10035,6.078709677,1120.645161,2.077419355,19.88709677,10.36706474,31,10003,10035
10003|10036,2.362892999,934.7424042,1.279379128,12.1651255,10.56164808,757,10003,10036
10003|10037,7.356,1014.1,2.56,22.4,11.44163647,10,10003,10037
10003|10038,2.350138249,727.5990783,1.319262673,10.76728111,12.23977238,217,10003,10038
10003|10039,8.408,1551,5.57,27.3,20.00776652,5,10003,10039
10003|10040,10.661,1389.2,4.385,31.3,14.31192906,10,10003,10040
10003|10044,6.106666667,972.3333333,1.466666667,18.83333333,8.535353535,3,10003,10044
10003|10065,132.8401039,805.1766234,1.443298701,12.13506494,11.92447543,385,10003,10065
10003|10075,3.622941176,883.6078431,1.900653595,13.79084967,14.00262216,153,10003,10075
10003|10128,4.286083333,947.6541667,1.821916667,15.53541667,11.75861046,240,10003,10128
10003|10280,3.295471698,878.1981132,1.847641509,13.69339623,13.16143328,106,10003,10280
10003|10303,19.3,2453,0,54.5,0,1,10003,10303
10003|10305,13.53,2100,10.38,41,25.31707317,1,10003,10305
10003|10312,23.365,3167.5,10.19,69,14.76811594,2,10003,10312
10003|10314,18.31,2220,10.4,51.5,20.19417476,1,10003,10314
10003|10451,8.97,1234,3.1,27.375,11.5758211,4,10003,10451
